"id","day_id","event_id","num_places","time_start","time_end","notes","active"
13,2,5,40,"12:00:00","12:55:00",,1
8,1,5,40,"12:00:00","12:55:00",,1
12,2,1,30,"07:00:00","08:00:00",,1
5,1,1,30,"07:00:00","08:00:00",,1
6,1,19,25,"13:00:00","13:55:00",,1
7,1,3,25,"11:00:00","11:55:00",,1
10,1,9,30,"21:00:00","21:55:00",,1
11,1,5,30,"21:35:00","22:15:00",,0
14,2,5,30,"20:00:00","20:55:00",,0
15,2,5,40,"21:30:00","22:15:00",,1
17,3,21,20,"10:00:00","10:55:00",,0
18,3,3,25,"11:00:00","11:55:00",,1
19,3,5,40,"12:00:00","12:55:00",,1
20,3,9,30,"21:00:00","21:55:00",,1
22,4,1,30,"07:15:00","08:15:00",,0
23,4,20,30,"10:00:00","10:55:00",,0
24,4,3,25,"11:00:00","11:55:00",,1
25,4,5,40,"12:00:00","12:55:00",,1
27,4,5,40,"21:20:00","22:00:00",,1
28,5,1,30,"07:00:00","08:00:00",,1
29,5,12,30,"09:30:00","10:30:00",,0
30,5,20,30,"10:00:00","10:55:00",,0
31,5,3,25,"11:00:00","11:55:00",,1
32,5,5,40,"12:00:00","12:55:00",,1
33,5,19,25,"13:00:00","13:55:00",,1
34,5,5,40,"20:35:00","21:25:00",,1
35,6,20,25,"13:00:00","13:55:00",,0
36,6,5,40,"13:15:00","14:00:00",,1
37,6,5,30,"14:00:00","14:55:00",,0
38,6,5,30,"15:00:00","15:55:00",,0
39,6,5,40,"16:00:00","17:00:00",,1
40,7,20,30,"12:50:00","13:30:00",,1
41,7,5,40,"13:35:00","14:20:00",,1
42,7,5,40,"14:25:00","15:20:00",,1
43,7,5,40,"15:25:00","16:20:00",,1
44,2,3,25,"11:00:00","11:55:00",,1
45,2,11,36,"20:35:00","21:20:00",,1
46,3,20,25,"12:00:00","12:55:00",,0
88,1,5,40,"10:00:00","10:55:00",,0
48,1,1,30,"07:15:00","08:15:00",,0
50,1,5,30,"14:00:00","14:55:00",,0
51,2,5,40,"10:00:00","10:55:00",,0
52,2,19,30,"13:00:00","13:55:00",,1
55,3,5,20,"11:15:00","11:55:00",,0
56,3,19,30,"13:00:00","13:55:00",,1
59,2,20,25,"10:00:00","10:55:00",,0
62,2,1,30,"07:15:00","08:15:00",,0
65,6,5,30,"12:00:00","12:55:00",,0
66,6,5,30,"11:00:00","11:55:00",,0
67,6,5,25,"09:00:00","09:55:00",,0
68,6,20,25,"10:00:00","10:55:00",,0
71,1,24,30,"20:15:00","20:55:00",,1
72,7,5,30,"11:30:00","12:15:00",,0
77,4,5,30,"12:00:00","12:55:00",,0
78,4,1,25,"07:00:00","08:00:00",,1
79,4,19,25,"13:00:00","13:55:00",,1
81,3,20,25,"12:00:00","12:55:00",,0
82,3,12,30,"09:00:00","09:45:00",,1
83,7,5,30,"14:00:00","14:45:00",,0
